MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
66,2024-09-25,Girona,Rayo Vallecano,"paulo gazzaniga, miguel gutierrez, daley blind, david lopez, arnau martinez, bryan gil, yangel herrera, ivan martin, viktor tsygankov, abel ruiz, yaser asprilla","augusto batalla, ivan balliu, florian lejeune, abdul mumin, josep chavarria, andrei ratiu, pedro diaz, oscar valentin, adrian embarba, isi palazon, sergio camello"
67,2024-09-25,Barcelona,Getafe,"iñaki peña, alejandro balde, iñigo martinez, pau cubarsi, jules kounde, marc casado, eric garcia, raphinha, pablo torre, lamine yamal, robert lewandowski","david soria, djene, juan berrocal, omar alderete, juan iglesias, luis milla, carles perez, carles aleña, yellu santiago, alex sola, christantus uche"
68,2024-09-26,Espanyol,Villarreal,"joan garcia, brian olivan, leandro cabrera, marash kumbulla, omar el hilali, jofre carreras, pol lozano, alex kral, alvaro tejero, alejo veliz, javi puado","diego conde, kiko femenia, raul albiol, logan costa, sergi cardona, ilias akhomach, santi comesaña, pape gueye, alex baena, ayoze perez, thierno barry"
69,2024-09-26,Las Palmas,Real Betis,"jasper cillessen, daley sinkgraven, alex muñoz, juanma herzog, viti rozada, dario essugo, kirian rodriguez, enzo loiodice, sandro ramirez, alberto moleiro, fabio silva","rui silva, aitor ruibal, diego llorente, natan, romain perraud, johnny cardoso, marc roca, pablo fornals, giovanni lo celso, abde ezzalzouli, assane diao"
70,2024-09-26,Celta,Atlético,"vicente guaita, marcos alonso, carl starfelt, javier manquillo, hugo alvarez, hugo sotelo, fran beltran, sergio carreira, williot swedberg, borja iglesias, iago aspas","jan oblak, nahuel molina, robin le normand, jose maria gimenez, reinildo mandava, marcos llorente, koke, conor gallagher, giuliano simeone, antoine griezmann, alexander sorloth"
71,2024-09-27,Real Valladolid,Mallorca,"karl hein, lucas rosa, david torres, juma bah, luis perez, kike perez, eray comert, mario martin, darwin machis, juanmi latasa, raul moro","leo roman, pablo maffeo, antonio raillo, jose copete, johan mojica, robert navarro, manu morlanes, samu costa, sergi darder, dani rodriguez, cyle larin"
72,2024-09-28,Getafe,Alavés,"david soria, diego rico, omar alderete, juan berrocal, djene, alex sola, luis milla, mauro arambarri, carles perez, bergut yildirim, christantus uche","antonio sivera, nahuel tenaglia, abdel abqar, aleksandar sedlar, moussa diarra, joan jordan, carlos protesoni, carlos vicente, stoichkov, carlos martin, toni martinez"
73,2024-09-28,Rayo Vallecano,Leganés,"augusto batalla, ivan balliu, abdul mumin, florian lejeune, andrei ratiu, pathe ciss, unai lopez, alvaro garcia, james rodriguez, jorge de frutos, sergio camello","marko dmitrovic, valentin rosier, sergio gonzalez, matija nastasic, javier hernandez, seydouba cisse, renato tapia, juan cruz, robert lopez, adria altimira, sebastien haller"
74,2024-09-28,R. Sociedad,Valencia,"alex remiro, javi lopez, nayef aguerd, igor zubeldia, jon aramburu, martin zubimendi, ander barrenetxea, sergio gomez, luka sucic, takefusa kubo, mikel oyarzabal","giorgi mamardashvili, dimitri foulquier, cesar tarrega, cristhian mosquera, jesus vazquez, diego lopez, hugo guillamon, pepelu, luis rioja, javi guerra, hugo duro"
75,2024-09-28,Osasuna,Barcelona,"sergio herrera, juan cruz, enzo boyomo, alejandro catena, jesus areso, aimar oroz, lucas torro, pablo ibañez, bryan zaragoza, ante budimir, ruben garcia","iñaki peña, jules kounde, sergi dominguez, pau cubarsi, gerard martin, pablo torre, eric garcia, pedri, ferran torres, robert lewandowski, pau victor"
76,2024-09-29,Celta,Girona,"vicente guaita, marcos alonso, carlos dominguez, javi rodriguez, oscar mingueza, damian rodriguez, ilaix moriba, sergio carreira, alfon gonzalez, pablo duran, borja iglesias","paulo gazzaniga, alejandro frances, daley blind, ladislav krejci, miguel gutierrez, ivan martin, oriol romeu, viktor tsygankov, yangel herrera, arnaut danjuma, abel ruiz"
77,2024-09-29,Athletic,Sevilla,"julen agirrezabala, iñigo lekue, aitor paredes, unai nuñez, oscar de marcos, mikel vesga, mikel jauregizar, alex berenguer, unai gomez, nico williams, iñaki williams","orjan nyland, jose angel carmona, loic bade, tanguy nianzou, valentin barco, lucien agoume, nemanja gudelj, dodi lukebakio, peque fernandez, chidera ejuke, kelechi iheanacho"
78,2024-09-29,Real Betis,Espanyol,"rui silva, ricardo rodriguez, natan, diego llorente, hector bellerin, marc roca, sergi altimira, abde ezzalzouli, giovanni lo celso, iker losada, cedric bakambu","joan garcia, omar el hilali, sergi gomez, marash kumbulla, carlos romero, jofre carreras, jose gragera, pol lozano, javi puado, alex kral, walid cheddira"
79,2024-09-29,Atlético,Real Madrid,"jan oblak, reinildo mandava, jose maria gimenez, robin le normand, nahuel molina, julian alvarez, conor gallagher, marcos llorente, rodrigo de paul, alexander sorloth, antoine griezmann","thibaut courtois, daniel carvajal, antonio rudiger, eder militao, ferland mendy, federico valverde, luka modric, aurelien tchouameni, jude bellingham, rodrygo, vinicius junior"
