date_time,home_team,away_team,home_lineup,away_lineup
2005-09-17 18:00:00+00:00,Valencia,RC Deportivo,"['/player/juan-luis-mora-palacios', '/player/roberto-fabian-ayala', '/player/marchena-23378', '/player/miguel-23376', '/player/emiliano-moretti', '/player/p-aimar-36882', '/player/d-albelda-23380', '/player/ruben-baraja-vegas', '/player/vicente-rodriguez-guillen', '/player/d-villa-23386', '/player/miguel-angel-ferrer-martinez']","['/player/jose-francisco-molina', '/player/jorge-andrade', '/player/manuel-pablo-23572', '/player/romero-206008', '/player/capdevila-23462', '/player/aldo-pedro-duscher', '/player/sergio-gonzalez-soriano', '/player/valeron-23583', '/player/diego-tristan-herrera-30520', '/player/munitis-23477', '/player/ruben-castro-7564']"
2005-09-17 20:00:00+00:00,Mallorca,R. Sociedad,"['/player/antonio-prats', '/player/s-ballesteros-29356', '/player/a-potenza-922', '/player/f-navarro-23482', '/player/campano-29112', '/player/borja-23372', '/player/doni-1040', '/player/francisco-maciel', '/player/a-peralta-17266', '/player/yordi-257807', '/player/j-arango-7348']","['/player/riesgo-30475', '/player/labaka-27447', '/player/m-gonzalez-7270', '/player/mikel-alonso-olano', '/player/aitor-lopez-rekarte', '/player/mikel-aranburu-eizagirre-27451', '/player/x-prieto-23648', '/player/gaizka-garitano', '/player/barkero-10861', '/player/darko-kovacevic', '/player/garikoitz-uranga']"
2005-09-18 15:00:00+00:00,Alavés,Getafe,"['/player/roberto-bonano', '/player/hipolito-fernandez-serrano', '/player/josu-sarriegi', '/player/oscar-tellez', '/player/juan-jesus-gutierrez-robles', '/player/m-astudillo-473703', '/player/edu-alonso', '/player/jandro-30560', '/player/nene-30766', '/player/de-lucas-30385', '/player/john-aloisi']","['/player/luis-garcia-7158', '/player/mariano-andres-pernia', '/player/david-belenguer-reverte', '/player/anibal-matellan', '/player/cosmin-marius-contra-10218', '/player/fabio-celestini', '/player/mario-gutierrez-cotelo', '/player/david-cubillo', '/player/gavilan-23515', '/player/riki-23586', '/player/d-guiza-217020']"
2005-09-18 15:00:00+00:00,Athletic,Málaga,"['/player/aranzubia-23570', '/player/luis-prieto-23369', '/player/a-iraola-29960', '/player/lacruz-11387', '/player/u-exposito-29738', '/player/c-gurpegui-29971', '/player/i-gutierrez-34734', '/player/p-orbaiz-29970', '/player/francisco-javier-yeste-navarro-29968', '/player/f-llorente-29980', '/player/joseba-etxeberria-lizardi']","['/player/francesc-arnau-gravalosa', '/player/alexis-23379', '/player/gerardo-37761', '/player/nacho-28227', '/player/c-navas-34478', '/player/vicente-valcarce', '/player/fernando-sanz', '/player/juan-rodriguez-23582', '/player/duda-28112', '/player/anderson-silva-30060', '/player/morales-257710']"
2005-09-18 15:00:00+00:00,Cádiz,Villarreal,"['/player/armando-riveiro-de-aguilar-malda', '/player/de-quintana-257709', '/player/a-paz-10847', '/player/raul-248229', '/player/varela-257691', '/player/a-fleurquin-210969', '/player/suarez-257712', '/player/pavoni-257704', '/player/jonathan-sesma-23373', '/player/oli-257707', '/player/enrique-257696']","['/player/sebastian-viera-208191', '/player/enrique-alvarez-san-juan', '/player/g-rodriguez-23463', '/player/rodolfo-arruabarrena', '/player/javi-venta-27039', '/player/a-valencia-475', '/player/senna-23469', '/player/jose-joaquin-moreno', '/player/hector-font-7406', '/player/jose-mari-27475', '/player/l-figueroa-54504']"
2005-09-18 15:00:00+00:00,Celta,Racing,"['/player/pinto-23558', '/player/sergio-34906', '/player/angel-lopez-23461', '/player/diego-rodolfo-placente-72003', '/player/p-contreras-53241', '/player/b-oubina-7459', '/player/iriney-28783', '/player/gustavo-lopez', '/player/f-canobbio-27017', '/player/baiano-257633', '/player/nunez-23690']","['/player/aouate-7129', '/player/ayoze-diaz-32972', '/player/pablo-pinillos-caro', '/player/jose-moraton-taeno', '/player/samuel-30693', '/player/felipe-melo-21156', '/player/vitolo-53246', '/player/casquero-23514', '/player/oscar-serrano-23479', '/player/s-dalmat-3162', '/player/antonito-23867']"
2005-09-18 15:00:00+00:00,Osasuna,Sevilla,"['/player/ricardo-lopez-felipe', '/player/josetxo-27034', '/player/javi-flano-7241', '/player/c-cuellar-3495', '/player/clavero-29735', '/player/moha-7442', '/player/david-lopez-29967', '/player/sosa-257700', '/player/raul-garcia-23527', '/player/bernardo-romeo', '/player/savo-milosevic']","['/player/a-palop-23480', '/player/ivica-dragutinovic', '/player/david-castedo', '/player/aitor-ocio-29962', '/player/d-alves-23559', '/player/adriano-23484', '/player/j-navas-27050', '/player/e-maresca-7432', '/player/marti-23391', '/player/f-kanoute-7534', '/player/kepa-23518']"
2005-09-18 16:00:00+00:00,Real Betis,Real Zaragoza,"['/player/pedro-contreras-gonzalez', '/player/melli-23326', '/player/victoriano-rivas-alvaro', '/player/p-castellini-38425', '/player/varela-23389', '/player/rivera-9911', '/player/miguel-ayala', '/player/joaquin-23384', '/player/israel-38760', '/player/ricardo-oliveira-10936', '/player/dani-43430']","['/player/raul-valbuena', '/player/g-milito-7271', '/player/toledo-257694', '/player/alvaro-luiz-maior-de-aquino', '/player/movilla-7446', '/player/l-ponzio-16956', '/player/a-zapater-7503', '/player/savio-257804', '/player/oscar-117572', '/player/d-milito-28271', '/player/ewerthon-henrique-de-souza']"
2005-09-18 17:00:00+00:00,Espanyol,Real Madrid,"['/player/c-kameni-23349', '/player/lopo-23574', '/player/armando-sa-257811', '/player/david-garcia-23353', '/player/daniel-jarque-gonzalez', '/player/didier-domi', '/player/ivan-de-la-pena-lopez', '/player/eduardo-costa-27012', '/player/ito', '/player/l-garcia-23364', '/player/coro-23362']","['/player/i-casillas-23340', '/player/roberto-carlos-31611', '/player/m-salgado-33003', '/player/sergio-ramos-23341', '/player/ivan-helguera-bujia', '/player/d-beckham-72555', '/player/pablo-garcia-23687', '/player/robinho-27171', '/player/ronaldo-luiz-nazario-de-lima', '/player/raul-23347', '/player/j-baptista-9415']"
2005-09-18 19:00:00+00:00,Atlético,Barcelona,"['/player/l-franco-28115', '/player/l-perea-7295', '/player/m-petrov-433', '/player/antonio-lopez-23522', '/player/juan-velasco', '/player/p-luccin-7430', '/player/gabi-7393', '/player/m-rodriguez-65427', '/player/pablo-ibanez-tebar', '/player/f-torres-29366', '/player/m-kezman-5708']","['/player/v-valdes-7171', '/player/r-marquez-23561', '/player/puyol-23562', '/player/edmilson-jose-gomes-de-moraes', '/player/giovanni-van-bronckhorst', '/player/oleguer-presas-renom-29669', '/player/xavi-23564', '/player/deco-61725', '/player/ronaldinho-27076', '/player/s-eto-o-23565', '/player/l-giuly-1062']"
2005-09-21 19:00:00+00:00,Barcelona,Valencia,"['/player/v-valdes-7171', '/player/puyol-23562', '/player/r-marquez-23561', '/player/giovanni-van-bronckhorst', '/player/oleguer-presas-renom-29669', '/player/edmilson-jose-gomes-de-moraes', '/player/deco-61725', '/player/xavi-23564', '/player/ronaldinho-27076', '/player/s-eto-o-23565', '/player/l-giuly-1062']","['/player/santiago-canizares', '/player/m-caneira-37476', '/player/roberto-fabian-ayala', '/player/emiliano-moretti', '/player/f-aurelio-126', '/player/d-albelda-23380', '/player/marchena-23378', '/player/p-aimar-36882', '/player/vicente-rodriguez-guillen', '/player/rufete-11268', '/player/d-villa-23386']"
2005-09-21 19:00:00+00:00,RC Deportivo,Real Betis,"['/player/jose-francisco-molina', '/player/f-coloccini-7202', '/player/jorge-andrade', '/player/manuel-pablo-23572', '/player/romero-206008', '/player/capdevila-23462', '/player/aldo-pedro-duscher', '/player/sergio-gonzalez-soriano', '/player/valeron-23583', '/player/diego-tristan-herrera-30520', '/player/ruben-castro-7564']","['/player/doblas-27603', '/player/juanito-23327', '/player/oscar-lopez-hernandez', '/player/rivas-23329', '/player/varela-23389', '/player/rivera-9911', '/player/miguel-ayala', '/player/marcos-assuncao-7350', '/player/joaquin-23384', '/player/xisco-munoz-33505', '/player/ricardo-oliveira-10936']"
2005-09-21 19:00:00+00:00,Sevilla,Cádiz,"['/player/a-palop-23480', '/player/ivica-dragutinovic', '/player/javi-navarro', '/player/david-castedo', '/player/adriano-23484', '/player/d-alves-23559', '/player/j-navas-27050', '/player/marti-23391', '/player/jordi-lopez-69871', '/player/kepa-23518', '/player/luis-fabiano-23487']","['/player/armando-riveiro-de-aguilar-malda', '/player/de-quintana-257709', '/player/a-paz-10847', '/player/raul-248229', '/player/varela-257691', '/player/a-fleurquin-210969', '/player/suarez-257712', '/player/pavoni-257704', '/player/jonathan-sesma-23373', '/player/enrique-257696', '/player/oli-257707']"
2005-09-21 19:00:00+00:00,Getafe,Mallorca,"['/player/luis-garcia-7158', '/player/mariano-andres-pernia', '/player/david-belenguer-reverte', '/player/anibal-matellan', '/player/cosmin-marius-contra-10218', '/player/diego-rivas-23649', '/player/fabio-celestini', '/player/gavilan-23515', '/player/riki-23586', '/player/d-guiza-217020', '/player/veljko-paunovic-7553']","['/player/moya-28767', '/player/f-navarro-23482', '/player/a-potenza-922', '/player/s-ballesteros-29356', '/player/francisco-maciel', '/player/borja-23372', '/player/j-arango-7348', '/player/a-peralta-17266', '/player/campano-29112', '/player/doni-1040', '/player/yordi-257807']"
2005-09-21 19:00:00+00:00,Málaga,Alavés,"['/player/francesc-arnau-gravalosa', '/player/gerardo-37761', '/player/nacho-28227', '/player/c-navas-34478', '/player/vicente-valcarce', '/player/fernando-sanz', '/player/duda-28112', '/player/anderson-silva-30060', '/player/hidalgo-10879', '/player/edgar', '/player/morales-257710']","['/player/f-costanzo-10810', '/player/mauricio-pellegrino', '/player/david-coromina', '/player/juan-jesus-gutierrez-robles', '/player/m-astudillo-473703', '/player/santiago-carpintero-fernandez-29060', '/player/edu-alonso', '/player/jandro-30560', '/player/nene-30766', '/player/de-lucas-30385', '/player/john-aloisi']"
2005-09-21 19:00:00+00:00,Racing,Espanyol,"['/player/aouate-7129', '/player/ayoze-diaz-32972', '/player/pablo-pinillos-caro', '/player/jose-moraton-taeno', '/player/samuel-30693', '/player/vitolo-53246', '/player/casquero-23514', '/player/oscar-serrano-23479', '/player/s-dalmat-3162', '/player/antonito-23867', '/player/raul-martin-del-campo']","['/player/c-kameni-23349', '/player/juanfran-23454', '/player/lopo-23574', '/player/armando-sa-257811', '/player/david-garcia-23353', '/player/daniel-jarque-gonzalez', '/player/didier-domi', '/player/fredson-camara-pereira', '/player/a-riera-7472', '/player/eduardo-costa-27012', '/player/l-garcia-23364']"
