Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2005-10-27,Alavés,Espanyol,1,1,D,1,1,D,12,12,9,6,19,12,10,10,3,3,1,0,2.3,3.25,3.0
SP1,2005-10-27,Atlético,Cádiz,3,0,H,1,0,H,20,7,10,2,21,13,9,5,3,2,0,0,1.72,3.4,5.0
SP1,2005-10-27,R. Sociedad,Getafe,3,0,H,3,0,H,11,18,5,8,18,21,6,10,0,2,0,0,2.1,3.25,3.4
SP1,2005-10-27,Valencia,Sevilla,0,2,A,0,1,A,24,4,6,2,16,16,10,2,1,0,0,0,1.66,3.4,5.5
SP1,2005-10-27,Real Zaragoza,Racing,1,1,D,1,0,H,14,6,3,1,18,25,5,3,2,6,0,0,1.83,3.3,4.33
SP1,2005-10-29,Athletic,Celta,1,1,D,1,0,H,14,11,3,4,25,13,6,3,2,2,0,0,2.25,3.25,2.75
SP1,2005-10-29,Real Betis,Real Madrid,0,2,A,0,1,A,11,6,1,3,21,24,4,4,2,2,0,0,2.8,3.25,2.2
SP1,2005-10-30,Alavés,Cádiz,0,0,D,0,0,D,10,7,6,3,25,19,4,0,1,2,0,0,2.2,3.25,2.8
SP1,2005-10-30,Atlético,Villarreal,1,1,D,1,0,H,16,7,5,2,26,18,8,2,6,4,1,1,2.2,3.25,2.8
SP1,2005-10-30,Barcelona,R. Sociedad,5,0,H,2,0,H,21,2,8,1,13,9,4,5,1,3,0,1,1.33,4.33,7.5
SP1,2005-10-30,RC Deportivo,Getafe,1,0,H,1,0,H,12,16,5,3,28,17,1,2,3,4,0,0,1.8,3.25,4.0
SP1,2005-10-30,Mallorca,Sevilla,1,1,D,1,1,D,8,19,2,7,22,15,3,2,2,2,1,0,2.5,3.2,2.5
SP1,2005-10-30,Osasuna,Espanyol,2,0,H,1,0,H,16,7,7,0,18,20,5,4,2,6,0,1,1.83,3.25,3.75
SP1,2005-10-30,Valencia,Racing,1,1,D,1,1,D,10,5,4,4,14,31,9,1,2,1,0,1,1.4,4.0,6.5
SP1,2005-10-30,Real Zaragoza,Málaga,1,1,D,1,1,D,16,9,8,2,19,22,9,1,2,2,0,0,2.0,3.25,3.25
SP1,2005-11-05,Espanyol,Athletic,1,1,D,0,1,A,13,9,6,3,18,25,4,3,2,1,0,0,2.1,3.25,3.4
SP1,2005-11-05,R. Sociedad,Osasuna,1,2,A,1,1,D,15,17,5,5,22,25,3,3,1,4,0,0,2.1,3.25,3.0
