"name","position","age","nationality","market_value","profile_url","team"
"Iñaki Muñoz","Iñaki Muñoz Pivote","Pivote","España","600 mil €","https://www.transfermarkt.es/inaki-munoz/profil/spieler/7736","Athletic"
"Ander Iturraspe","Ander Iturraspe Pivote","Pivote","España","500 mil €","https://www.transfermarkt.es/ander-iturraspe/profil/spieler/71571","Athletic"
"David López","David López Mediocentro","Mediocentro","España","5,00 mill. €","https://www.transfermarkt.es/david-lopez/profil/spieler/25462","Athletic"
"Joseba Garmendia","Joseba Garmendia Mediocentro","Mediocentro","España","2,00 mill. €","https://www.transfermarkt.es/joseba-garmendia/profil/spieler/44009","Athletic"
"Igor Gabilondo","Igor Gabilondo Interior izquierdo","Interior izquierdo","España","3,00 mill. €","https://www.transfermarkt.es/igor-gabilondo/profil/spieler/7471","Athletic"
"Fran Yeste","Fran Yeste Mediocentro ofensivo","Mediocentro ofensivo","España","5,00 mill. €","https://www.transfermarkt.es/fran-yeste/profil/spieler/7636","Athletic"
"Adrien Goñi","Adrien Goñi Mediocentro ofensivo","Mediocentro ofensivo","España","-","https://www.transfermarkt.es/adrien-goni/profil/spieler/71565","Athletic"
"Joseba del Olmo","Joseba del Olmo Extremo izquierdo","Extremo izquierdo","España","900 mil €","https://www.transfermarkt.es/joseba-del-olmo/profil/spieler/57852","Athletic"
"Markel Susaeta","Markel Susaeta Extremo derecho","Extremo derecho","España","5,00 mill. €","https://www.transfermarkt.es/markel-susaeta/profil/spieler/54245","Athletic"
"Joseba Etxeberria","Joseba Etxeberria Extremo derecho","Extremo derecho","España","2,00 mill. €","https://www.transfermarkt.es/joseba-etxeberria/profil/spieler/7640","Athletic"
"Gaizka Toquero","Gaizka Toquero Mediapunta","Mediapunta","España","1,60 mill. €","https://www.transfermarkt.es/gaizka-toquero/profil/spieler/71840","Athletic"
"Fernando Llorente","Fernando Llorente Delantero centro","Delantero centro","España","10,00 mill. €","https://www.transfermarkt.es/fernando-llorente/profil/spieler/35564","Athletic"
"Iñigo Vélez","Iñigo Vélez Delantero centro","Delantero centro","España","800 mil €","https://www.transfermarkt.es/inigo-velez/profil/spieler/56226","Athletic"
"Ion Vélez","Ion Vélez Delantero centro","Delantero centro","España","800 mil €","https://www.transfermarkt.es/ion-velez/profil/spieler/54789","Athletic"
"Leo Franco","Leo Franco Portero","Portero","Argentina","6,00 mill. €","https://www.transfermarkt.es/leo-franco/profil/spieler/7669","Atlético"
"Grégory Coupet","Grégory Coupet Portero","Portero","Francia","4,00 mill. €","https://www.transfermarkt.es/gregory-coupet/profil/spieler/3910","Atlético"
"Ángel Bernabé","Ángel Bernabé Portero","Portero","España","100 mil €","https://www.transfermarkt.es/angel-bernabe/profil/spieler/60368","Atlético"
"John Heitinga","John Heitinga Defensa central","Defensa central","Países Bajos","8,00 mill. €","https://www.transfermarkt.es/john-heitinga/profil/spieler/4315","Atlético"
"Tomas Ujfalusi","Tomas Ujfalusi Defensa central","Defensa central","República Checa","8,00 mill. €","https://www.transfermarkt.es/tomas-ujfalusi/profil/spieler/325","Atlético"
"Luis Amaranto Perea","Luis Amaranto Perea Defensa central","Defensa central","Colombia","7,00 mill. €","https://www.transfermarkt.es/luis-amaranto-perea/profil/spieler/27489","Atlético"
"Pablo Ibáñez","Pablo Ibáñez Defensa central","Defensa central","España","6,00 mill. €","https://www.transfermarkt.es/pablo-ibanez/profil/spieler/8116","Atlético"
"Álvaro Domínguez","Álvaro Domínguez Defensa central","Defensa central","España","400 mil €","https://www.transfermarkt.es/alvaro-dominguez/profil/spieler/62915","Atlético"
"César Ortiz","César Ortiz Defensa central","Defensa central","España","100 mil €","https://www.transfermarkt.es/cesar-ortiz/profil/spieler/68896","Atlético"
"Antonio López","Antonio López Lateral izquierdo","Lateral izquierdo","España","5,00 mill. €","https://www.transfermarkt.es/antonio-lopez/profil/spieler/7723","Atlético"
