"name","position","age","nationality","market_value","profile_url","team"
"Luis García","Luis García Mediocentro","Mediocentro","España","10,00 mill. €","https://www.transfermarkt.es/luis-garcia/profil/spieler/8006","Espanyol"
"Ángel Martínez","Ángel Martínez Mediocentro","Mediocentro","España","4,00 mill. €","https://www.transfermarkt.es/angel-martinez/profil/spieler/45652","Espanyol"
"Román Martínez","Román Martínez Mediocentro","Mediocentro","Argentina","2,40 mill. €","https://www.transfermarkt.es/roman-martinez/profil/spieler/53134","Espanyol"
"Óscar Sielva","Óscar Sielva Mediocentro","Mediocentro","España","500 mil €","https://www.transfermarkt.es/oscar-sielva/profil/spieler/67550","Espanyol"
"Juanjo Ciércoles","Juanjo Ciércoles Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/juanjo-ciercoles/profil/spieler/72296","Espanyol"
"Javi Márquez","Javi Márquez Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/javi-marquez/profil/spieler/72315","Espanyol"
"Nenê","Nenê Mediocentro ofensivo","Mediocentro ofensivo","Brasil","6,00 mill. €","https://www.transfermarkt.es/nene/profil/spieler/29091","Espanyol"
"Iván de la Peña","Iván de la Peña Mediocentro ofensivo","Mediocentro ofensivo","España","3,00 mill. €","https://www.transfermarkt.es/ivan-de-la-pena/profil/spieler/8037","Espanyol"
"Julián López de Lerma","Julián López de Lerma Mediocentro ofensivo","Mediocentro ofensivo","España","500 mil €","https://www.transfermarkt.es/julian-lopez-de-lerma/profil/spieler/45651","Espanyol"
"Valdo","Valdo Extremo derecho","Extremo derecho","Cabo Verde","4,00 mill. €","https://www.transfermarkt.es/valdo/profil/spieler/7528","Espanyol"
"Francisco Rufete","Francisco Rufete Extremo derecho","Extremo derecho","España","2,00 mill. €","https://www.transfermarkt.es/francisco-rufete/profil/spieler/7580","Espanyol"
"José Callejón","José Callejón Extremo derecho","Extremo derecho","España","800 mil €","https://www.transfermarkt.es/jose-callejon/profil/spieler/61253","Espanyol"
"Raúl Tamudo","Raúl Tamudo Delantero centro","Delantero centro","España","11,00 mill. €","https://www.transfermarkt.es/raul-tamudo/profil/spieler/7899","Espanyol"
"Jonathan Soriano","Jonathan Soriano Delantero centro","Delantero centro","España","2,00 mill. €","https://www.transfermarkt.es/jonathan-soriano/profil/spieler/7893","Espanyol"
"Ferrán Corominas","Ferrán Corominas Delantero centro","Delantero centro","España","2,00 mill. €","https://www.transfermarkt.es/ferran-corominas/profil/spieler/15790","Espanyol"
"Iván Alonso","Iván Alonso Delantero centro","Delantero centro","Uruguay","2,00 mill. €","https://www.transfermarkt.es/ivan-alonso/profil/spieler/51583","Espanyol"
"Óscar Ustari","Óscar Ustari Portero","Portero","Argentina","3,00 mill. €","https://www.transfermarkt.es/oscar-ustari/profil/spieler/3755","Getafe"
"Jacobo Sanz","Jacobo Sanz Portero","Portero","España","2,00 mill. €","https://www.transfermarkt.es/jacobo-sanz/profil/spieler/51699","Getafe"
"Roberto Abbondanzieri","Roberto Abbondanzieri Portero","Portero","Argentina","1,60 mill. €","https://www.transfermarkt.es/roberto-abbondanzieri/profil/spieler/19937","Getafe"
"Vladimir Stojkovic","Vladimir Stojkovic Portero","Portero","Serbia","900 mil €","https://www.transfermarkt.es/vladimir-stojkovic/profil/spieler/34400","Getafe"
"Gonzalo","Gonzalo Portero","Portero","España","-","https://www.transfermarkt.es/gonzalo/profil/spieler/62944","Getafe"
"Cata Díaz","Cata Díaz Defensa central","Defensa central","Argentina","6,00 mill. €","https://www.transfermarkt.es/cata-diaz/profil/spieler/39087","Getafe"
"Mario Abrante","Mario Abrante Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/mario-abrante/profil/spieler/7803","Getafe"
"İbrahim Kaş","İbrahim Kaş Defensa central","Defensa central","Turquía","1,40 mill. €","https://www.transfermarkt.es/ibrahim-kas/profil/spieler/35029","Getafe"
"David Belenguer","David Belenguer Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/david-belenguer/profil/spieler/22967","Getafe"
"Rafa López","Rafa López Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/rafa-lopez/profil/spieler/16315","Getafe"
"Lucas Licht","Lucas Licht Lateral izquierdo","Lateral izquierdo","Argentina","4,00 mill. €","https://www.transfermarkt.es/lucas-licht/profil/spieler/30815","Getafe"
"Franck Signorino","Franck Signorino Lateral izquierdo","Lateral izquierdo","Francia","800 mil €","https://www.transfermarkt.es/franck-signorino/profil/spieler/12101","Getafe"
"David Cortés","David Cortés Lateral derecho","Lateral derecho","España","3,00 mill. €","https://www.transfermarkt.es/david-cortes/profil/spieler/7671","Getafe"
"Cosmin Contra","Cosmin Contra Lateral derecho","Lateral derecho","Rumania","1,00 mill. €","https://www.transfermarkt.es/cosmin-contra/profil/spieler/5808","Getafe"
"Javi Casquero","Javi Casquero Pivote","Pivote","España","3,40 mill. €","https://www.transfermarkt.es/javi-casquero/profil/spieler/7705","Getafe"
"Eugen Polanski","Eugen Polanski Pivote","Pivote","Polonia","3,00 mill. €","https://www.transfermarkt.es/eugen-polanski/profil/spieler/19548","Getafe"
"Fabio Celestini","Fabio Celestini Pivote","Pivote","Suiza","2,00 mill. €","https://www.transfermarkt.es/fabio-celestini/profil/spieler/6134","Getafe"
"Esteban Granero","Esteban Granero Mediocentro","Mediocentro","España","5,00 mill. €","https://www.transfermarkt.es/esteban-granero/profil/spieler/44065","Getafe"
"Adrián González","Adrián González Mediocentro","Mediocentro","España","800 mil €","https://www.transfermarkt.es/adrian-gonzalez/profil/spieler/44073","Getafe"
"Mario Cotelo","Mario Cotelo Interior derecho","Interior derecho","España","500 mil €","https://www.transfermarkt.es/mario-cotelo/profil/spieler/23033","Getafe"
"Juan Albín","Juan Albín Mediocentro ofensivo","Mediocentro ofensivo","Uruguay","8,00 mill. €","https://www.transfermarkt.es/juan-albin/profil/spieler/44139","Getafe"
"David Sousa","David Sousa Mediocentro ofensivo","Mediocentro ofensivo","España","900 mil €","https://www.transfermarkt.es/david-sousa/profil/spieler/7820","Getafe"
"Jaime Gavilán","Jaime Gavilán Extremo izquierdo","Extremo izquierdo","España","4,00 mill. €","https://www.transfermarkt.es/jaime-gavilan/profil/spieler/15461","Getafe"
"Roberto Soldado","Roberto Soldado Delantero centro","Delantero centro","España","5,00 mill. €","https://www.transfermarkt.es/roberto-soldado/profil/spieler/34870","Getafe"
"Manu del Moral","Manu del Moral Delantero centro","Delantero centro","España","5,00 mill. €","https://www.transfermarkt.es/manu-del-moral/profil/spieler/37399","Getafe"
"Ikechukwu Uche","Ikechukwu Uche Delantero centro","Delantero centro","Nigeria","4,00 mill. €","https://www.transfermarkt.es/ikechukwu-uche/profil/spieler/44027","Getafe"
"Joffre Guerrón","Joffre Guerrón Delantero centro","Delantero centro","Ecuador","2,40 mill. €","https://www.transfermarkt.es/joffre-guerron/profil/spieler/73620","Getafe"
"Kepa Blanco","Kepa Blanco Delantero centro","Delantero centro","España","1,80 mill. €","https://www.transfermarkt.es/kepa-blanco/profil/spieler/34494","Getafe"
"Miguel Ángel Moyá","Miguel Ángel Moyá Portero","Portero","España","5,00 mill. €","https://www.transfermarkt.es/miguel-angel-moya/profil/spieler/26065","Mallorca"
"Dudu Aouate","Dudu Aouate Portero","Portero","Israel","1,80 mill. €","https://www.transfermarkt.es/dudu-aouate/profil/spieler/3495","Mallorca"
"Germán Lux","Germán Lux Portero","Portero","Argentina","1,60 mill. €","https://www.transfermarkt.es/german-lux/profil/spieler/19979","Mallorca"
"Tomeu Nadal","Tomeu Nadal Portero","Portero","España","100 mil €","https://www.transfermarkt.es/tomeu-nadal/profil/spieler/88397","Mallorca"
"Nauzet Pérez","Nauzet Pérez Portero","Portero","España","-","https://www.transfermarkt.es/nauzet-perez/profil/spieler/71206","Mallorca"
"Javi Seral","Javi Seral Portero","Portero","España","-","https://www.transfermarkt.es/javi-seral/profil/spieler/99415","Mallorca"
"José Nunes","José Nunes Defensa central","Defensa central","Portugal","3,80 mill. €","https://www.transfermarkt.es/jose-nunes/profil/spieler/14342","Mallorca"
"David Navarro","David Navarro Defensa central","Defensa central","España","3,40 mill. €","https://www.transfermarkt.es/david-navarro/profil/spieler/7568","Mallorca"
"Iván Ramis","Iván Ramis Defensa central","Defensa central","España","2,80 mill. €","https://www.transfermarkt.es/ivan-ramis/profil/spieler/26066","Mallorca"
"Josemi","Josemi Defensa central","Defensa central","España","2,40 mill. €","https://www.transfermarkt.es/josemi/profil/spieler/7776","Mallorca"
"Enrique Corrales","Enrique Corrales Lateral izquierdo","Lateral izquierdo","España","3,40 mill. €","https://www.transfermarkt.es/enrique-corrales/profil/spieler/25460","Mallorca"
"Ayoze Díaz","Ayoze Díaz Lateral izquierdo","Lateral izquierdo","España","2,00 mill. €","https://www.transfermarkt.es/ayoze-diaz/profil/spieler/16124","Mallorca"
"Dani Castellano","Dani Castellano Lateral izquierdo","Lateral izquierdo","España","200 mil €","https://www.transfermarkt.es/dani-castellano/profil/spieler/64363","Mallorca"
"Fernando Varela","Fernando Varela Lateral derecho","Lateral derecho","España","6,00 mill. €","https://www.transfermarkt.es/fernando-varela/profil/spieler/7652","Mallorca"
"Lionel Scaloni","Lionel Scaloni Lateral derecho","Lateral derecho","Argentina","2,60 mill. €","https://www.transfermarkt.es/lionel-scaloni/profil/spieler/7499","Mallorca"
"Josep Lluís Martí","Josep Lluís Martí Pivote","Pivote","España","1,60 mill. €","https://www.transfermarkt.es/josep-lluis-marti/profil/spieler/15955","Mallorca"
"Mario Suárez","Mario Suárez Pivote","Pivote","España","1,40 mill. €","https://www.transfermarkt.es/mario-suarez/profil/spieler/37337","Mallorca"
"Cléber Santana","Cléber Santana Mediocentro","Mediocentro","Brasil","2,80 mill. €","https://www.transfermarkt.es/cleber-santana/profil/spieler/50145","Mallorca"
"Juan Arango","Juan Arango Interior izquierdo","Interior izquierdo","Venezuela","7,00 mill. €","https://www.transfermarkt.es/juan-arango/profil/spieler/26063","Mallorca"
"José Manuel Jurado","José Manuel Jurado Mediocentro ofensivo","Mediocentro ofensivo","España","4,60 mill. €","https://www.transfermarkt.es/jose-manuel-jurado/profil/spieler/28261","Mallorca"
"Óscar Trejo","Óscar Trejo Mediocentro ofensivo","Mediocentro ofensivo","Argentina","3,40 mill. €","https://www.transfermarkt.es/oscar-trejo/profil/spieler/30321","Mallorca"
"Chory Castro","Chory Castro Extremo izquierdo","Extremo izquierdo","Uruguay","2,20 mill. €","https://www.transfermarkt.es/chory-castro/profil/spieler/28171","Mallorca"
"Juanmi Callejón","Juanmi Callejón Extremo izquierdo","Extremo izquierdo","España","700 mil €","https://www.transfermarkt.es/juanmi-callejon/profil/spieler/8187","Mallorca"
"Alberto López","Alberto López Extremo derecho","Extremo derecho","España","100 mil €","https://www.transfermarkt.es/alberto-lopez/profil/spieler/72178","Mallorca"
"Aritz Aduriz","Aritz Aduriz Delantero centro","Delantero centro","España","4,40 mill. €","https://www.transfermarkt.es/aritz-aduriz/profil/spieler/29124","Mallorca"
"Pierre Webó","Pierre Webó Delantero centro","Delantero centro","Camerún","3,40 mill. €","https://www.transfermarkt.es/pierre-webo/profil/spieler/16589","Mallorca"
"Alhassane Keita","Alhassane Keita Delantero centro","Delantero centro","Guinea","2,20 mill. €","https://www.transfermarkt.es/alhassane-keita/profil/spieler/4952","Mallorca"
"Roberto Fernández","Roberto Fernández Portero","Portero","España","1,80 mill. €","https://www.transfermarkt.es/roberto-fernandez/profil/spieler/57800","Osasuna"
"Ricardo","Ricardo Portero","Portero","España","1,40 mill. €","https://www.transfermarkt.es/ricardo/profil/spieler/3535","Osasuna"
"Andrés Fernández","Andrés Fernández Portero","Portero","España","200 mil €","https://www.transfermarkt.es/andres-fernandez/profil/spieler/57522","Osasuna"
"Miguel Flaño","Miguel Flaño Defensa central","Defensa central","España","4,20 mill. €","https://www.transfermarkt.es/miguel-flano/profil/spieler/35600","Osasuna"
"César Azpilicueta","César Azpilicueta Defensa central","Defensa central","España","3,60 mill. €","https://www.transfermarkt.es/cesar-azpilicueta/profil/spieler/57500","Osasuna"
"Sergio Fernández","Sergio Fernández Defensa central","Defensa central","España","2,40 mill. €","https://www.transfermarkt.es/sergio-fernandez/profil/spieler/7544","Osasuna"
"Rovérsio","Rovérsio Defensa central","Defensa central","Brasil","1,80 mill. €","https://www.transfermarkt.es/roversio/profil/spieler/25110","Osasuna"
"Josetxo","Josetxo Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/josetxo/profil/spieler/7726","Osasuna"
"César Cruchaga","César Cruchaga Defensa central","Defensa central","España","600 mil €","https://www.transfermarkt.es/cesar-cruchaga/profil/spieler/7724","Osasuna"
"Jon Echaide","Jon Echaide Defensa central","Defensa central","España","400 mil €","https://www.transfermarkt.es/jon-echaide/profil/spieler/59527","Osasuna"
"Nacho Monreal","Nacho Monreal Lateral izquierdo","Lateral izquierdo","España","3,00 mill. €","https://www.transfermarkt.es/nacho-monreal/profil/spieler/43003","Osasuna"
"Tiago Gomes","Tiago Gomes Lateral izquierdo","Lateral izquierdo","Portugal","700 mil €","https://www.transfermarkt.es/tiago-gomes/profil/spieler/13222","Osasuna"
"Juanfran Torres","Juanfran Torres Lateral derecho","Lateral derecho","España","6,00 mill. €","https://www.transfermarkt.es/juanfran-torres/profil/spieler/16635","Osasuna"
"Javier Flaño","Javier Flaño Lateral derecho","Lateral derecho","España","2,80 mill. €","https://www.transfermarkt.es/javier-flano/profil/spieler/25461","Osasuna"
"Javad Nekounam","Javad Nekounam Pivote","Pivote","Irán","7,00 mill. €","https://www.transfermarkt.es/javad-nekounam/profil/spieler/24619","Osasuna"
"Patxi Puñal","Patxi Puñal Pivote","Pivote","España","1,80 mill. €","https://www.transfermarkt.es/patxi-punal/profil/spieler/7739","Osasuna"
"Sunny","Sunny Pivote","Pivote","Nigeria","800 mil €","https://www.transfermarkt.es/sunny/profil/spieler/51479","Osasuna"
"Oier Sanjurjo","Oier Sanjurjo Pivote","Pivote","España","400 mil €","https://www.transfermarkt.es/oier-sanjurjo/profil/spieler/63040","Osasuna"
"Jaroslav Plasil","Jaroslav Plasil Mediocentro","Mediocentro","República Checa","4,00 mill. €","https://www.transfermarkt.es/jaroslav-plasil/profil/spieler/8885","Osasuna"
"Antonio Hidalgo","Antonio Hidalgo Mediocentro","Mediocentro","España","3,00 mill. €","https://www.transfermarkt.es/antonio-hidalgo/profil/spieler/27673","Osasuna"
"Héctor Font","Héctor Font Mediocentro","Mediocentro","España","2,60 mill. €","https://www.transfermarkt.es/hector-font/profil/spieler/26198","Osasuna"
"Krisztián Vadócz","Krisztián Vadócz Mediocentro","Mediocentro","Hungría","900 mil €","https://www.transfermarkt.es/krisztian-vadocz/profil/spieler/34116","Osasuna"
"Rúper","Rúper Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/ruper/profil/spieler/63012","Osasuna"
"Masoud Shojaei","Masoud Shojaei Mediocentro ofensivo","Mediocentro ofensivo","Irán","3,00 mill. €","https://www.transfermarkt.es/masoud-shojaei/profil/spieler/26574","Osasuna"
"Ludovic Delporte","Ludovic Delporte Extremo izquierdo","Extremo izquierdo","Francia","1,00 mill. €","https://www.transfermarkt.es/ludovic-delporte/profil/spieler/5492","Osasuna"
"Jokin Esparza","Jokin Esparza Extremo derecho","Extremo derecho","España","300 mil €","https://www.transfermarkt.es/jokin-esparza/profil/spieler/62966","Osasuna"
"Dady","Dady Delantero centro","Delantero centro","Cabo Verde","4,00 mill. €","https://www.transfermarkt.es/dady/profil/spieler/34823","Osasuna"
"Walter Pandiani","Walter Pandiani Delantero centro","Delantero centro","Uruguay","2,40 mill. €","https://www.transfermarkt.es/walter-pandiani/profil/spieler/7691","Osasuna"
"Kike Sola","Kike Sola Delantero centro","Delantero centro","España","2,40 mill. €","https://www.transfermarkt.es/kike-sola/profil/spieler/51532","Osasuna"
"Javier Portillo","Javier Portillo Delantero centro","Delantero centro","España","1,80 mill. €","https://www.transfermarkt.es/javier-portillo/profil/spieler/7532","Osasuna"
"Santiago Ezquerro","Santiago Ezquerro Delantero centro","Delantero centro","España","1,80 mill. €","https://www.transfermarkt.es/santiago-ezquerro/profil/spieler/7639","Osasuna"
"Toño","Toño Portero","Portero","España","6,00 mill. €","https://www.transfermarkt.es/tono/profil/spieler/35536","Racing"
"Fabio Coltorti","Fabio Coltorti Portero","Portero","Suiza","1,00 mill. €","https://www.transfermarkt.es/fabio-coltorti/profil/spieler/10250","Racing"
"Mario Fernández","Mario Fernández Portero","Portero","España","200 mil €","https://www.transfermarkt.es/mario-fernandez/profil/spieler/57693","Racing"
"Pablo Gómez","Pablo Gómez Portero","Portero","España","-","https://www.transfermarkt.es/pablo-gomez/profil/spieler/108798","Racing"
"Ezequiel Garay","Ezequiel Garay Defensa central","Defensa central","Argentina","12,00 mill. €","https://www.transfermarkt.es/ezequiel-garay/profil/spieler/35939","Racing"
"Iván Marcano","Iván Marcano Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/ivan-marcano/profil/spieler/57723","Racing"
"Oriol Lozano","Oriol Lozano Defensa central","Defensa central","España","1,80 mill. €","https://www.transfermarkt.es/oriol-lozano/profil/spieler/25413","Racing"
"César Navas","César Navas Defensa central","Defensa central","España","1,20 mill. €","https://www.transfermarkt.es/cesar-navas/profil/spieler/29056","Racing"
"José Moratón","José Moratón Defensa central","Defensa central","España","800 mil €","https://www.transfermarkt.es/jose-moraton/profil/spieler/7853","Racing"
"Zé António","Zé António Defensa central","Defensa central","Portugal","500 mil €","https://www.transfermarkt.es/ze-antonio/profil/spieler/13870","Racing"
"José Picón","José Picón Defensa central","Defensa central","España","-","https://www.transfermarkt.es/jose-picon/profil/spieler/89379","Racing"
"Laszlo Sepsi","Laszlo Sepsi Lateral izquierdo","Lateral izquierdo","Rumania","2,00 mill. €","https://www.transfermarkt.es/laszlo-sepsi/profil/spieler/33622","Racing"
"Luis Fernández","Luis Fernández Lateral izquierdo","Lateral izquierdo","España","500 mil €","https://www.transfermarkt.es/luis-fernandez/profil/spieler/7648","Racing"
"Bolaño","Bolaño Lateral izquierdo","Lateral izquierdo","España","400 mil €","https://www.transfermarkt.es/bolano/profil/spieler/48294","Racing"
"Pablo Pinillos","Pablo Pinillos Lateral derecho","Lateral derecho","España","2,00 mill. €","https://www.transfermarkt.es/pablo-pinillos/profil/spieler/23290","Racing"
"Juan Valera","Juan Valera Lateral derecho","Lateral derecho","España","2,00 mill. €","https://www.transfermarkt.es/juan-valera/profil/spieler/16595","Racing"
"Gonzalo Colsa","Gonzalo Colsa Pivote","Pivote","España","5,00 mill. €","https://www.transfermarkt.es/gonzalo-colsa/profil/spieler/7813","Racing"
"Peter Luccin","Peter Luccin Pivote","Pivote","Francia","3,00 mill. €","https://www.transfermarkt.es/peter-luccin/profil/spieler/7555","Racing"
"Mehdi Lacen","Mehdi Lacen Pivote","Pivote","Argelia","2,20 mill. €","https://www.transfermarkt.es/mehdi-lacen/profil/spieler/35539","Racing"
"Edu Bedia","Edu Bedia Mediocentro","Mediocentro","España","700 mil €","https://www.transfermarkt.es/edu-bedia/profil/spieler/74764","Racing"
"Mario Ortiz","Mario Ortiz Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/mario-ortiz/profil/spieler/129376","Racing"
"Óscar Serrano","Óscar Serrano Interior izquierdo","Interior izquierdo","España","4,00 mill. €","https://www.transfermarkt.es/oscar-serrano/profil/spieler/26373","Racing"
"Sergio Canales","Sergio Canales Mediocentro ofensivo","Mediocentro ofensivo","España","600 mil €","https://www.transfermarkt.es/sergio-canales/profil/spieler/66106","Racing"
"Toni Moral","Toni Moral Extremo izquierdo","Extremo izquierdo","España","2,80 mill. €","https://www.transfermarkt.es/toni-moral/profil/spieler/51715","Racing"
"Luisma Villa","Luisma Villa Extremo izquierdo","Extremo izquierdo","España","-","https://www.transfermarkt.es/luisma-villa/profil/spieler/58499","Racing"
"Jorge López","Jorge López Extremo derecho","Extremo derecho","España","3,00 mill. €","https://www.transfermarkt.es/jorge-lopez/profil/spieler/7844","Racing"
"Jorge Gonçalves","Jorge Gonçalves Extremo derecho","Extremo derecho","Portugal","1,20 mill. €","https://www.transfermarkt.es/jorge-goncalves/profil/spieler/23199","Racing"
"Damián Ísmodes","Damián Ísmodes Extremo derecho","Extremo derecho","Perú","600 mil €","https://www.transfermarkt.es/damian-ismodes/profil/spieler/63451","Racing"
"Pedro Munitis","Pedro Munitis Mediapunta","Mediapunta","España","5,00 mill. €","https://www.transfermarkt.es/pedro-munitis/profil/spieler/7864","Racing"
"Jesús Berrocal","Jesús Berrocal Mediapunta","Mediapunta","España","-","https://www.transfermarkt.es/jesus-berrocal/profil/spieler/59510","Racing"
"Nikola Zigic","Nikola Zigic Delantero centro","Delantero centro","Serbia","10,00 mill. €","https://www.transfermarkt.es/nikola-zigic/profil/spieler/19729","Racing"
"Mémé Tchité","Mémé Tchité Delantero centro","Delantero centro","Burundi","8,00 mill. €","https://www.transfermarkt.es/meme-tchite/profil/spieler/18949","Racing"
"Jonathan Pereira","Jonathan Pereira Delantero centro","Delantero centro","España","4,00 mill. €","https://www.transfermarkt.es/jonathan-pereira/profil/spieler/53239","Racing"
"Juanjo Expósito","Juanjo Expósito Delantero centro","Delantero centro","España","2,00 mill. €","https://www.transfermarkt.es/juanjo-exposito/profil/spieler/35534","Racing"
"Oriol Santos","Oriol Santos Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/oriol-santos/profil/spieler/73297","Racing"
"Iker Casillas","Iker Casillas Portero","Portero","España","32,00 mill. €","https://www.transfermarkt.es/iker-casillas/profil/spieler/3979","Real Madrid"
"Jerzy Dudek","Jerzy Dudek Portero","Portero","Polonia","1,60 mill. €","https://www.transfermarkt.es/jerzy-dudek/profil/spieler/3209","Real Madrid"
"Jordi Codina","Jordi Codina Portero","Portero","España","600 mil €","https://www.transfermarkt.es/jordi-codina/profil/spieler/35462","Real Madrid"
"Sergio Ramos","Sergio Ramos Defensa central","Defensa central","España","30,00 mill. €","https://www.transfermarkt.es/sergio-ramos/profil/spieler/25557","Real Madrid"
"Pepe","Pepe Defensa central","Defensa central","Portugal","22,00 mill. €","https://www.transfermarkt.es/pepe/profil/spieler/14132","Real Madrid"
"Fabio Cannavaro","Fabio Cannavaro Defensa central","Defensa central","Italia","8,00 mill. €","https://www.transfermarkt.es/fabio-cannavaro/profil/spieler/5775","Real Madrid"
"Gabriel Heinze","Gabriel Heinze Defensa central","Defensa central","Argentina","6,00 mill. €","https://www.transfermarkt.es/gabriel-heinze/profil/spieler/5555","Real Madrid"
"Christoph Metzelder","Christoph Metzelder Defensa central","Defensa central","Alemania","4,00 mill. €","https://www.transfermarkt.es/christoph-metzelder/profil/spieler/123","Real Madrid"
"Agus García","Agus García Defensa central","Defensa central","España","-","https://www.transfermarkt.es/agus-garcia/profil/spieler/18646","Real Madrid"
"Gary Kagelmacher","Gary Kagelmacher Defensa central","Defensa central","Uruguay","-","https://www.transfermarkt.es/gary-kagelmacher/profil/spieler/58890","Real Madrid"
"Chema Antón","Chema Antón Defensa central","Defensa central","España","-","https://www.transfermarkt.es/chema-anton/profil/spieler/67086","Real Madrid"
"Marcelo","Marcelo Lateral izquierdo","Lateral izquierdo","Brasil","8,00 mill. €","https://www.transfermarkt.es/marcelo/profil/spieler/44501","Real Madrid"
"Julien Faubert","Julien Faubert Lateral derecho","Lateral derecho","Martinica","7,00 mill. €","https://www.transfermarkt.es/julien-faubert/profil/spieler/18093","Real Madrid"
"Miguel Torres","Miguel Torres Lateral derecho","Lateral derecho","España","4,00 mill. €","https://www.transfermarkt.es/miguel-torres/profil/spieler/45305","Real Madrid"
"Míchel Salgado","Míchel Salgado Lateral derecho","Lateral derecho","España","1,80 mill. €","https://www.transfermarkt.es/michel-salgado/profil/spieler/7515","Real Madrid"
"Javier Velayos","Javier Velayos Lateral derecho","Lateral derecho","España","100 mil €","https://www.transfermarkt.es/javier-velayos/profil/spieler/53294","Real Madrid"
"Fernando Gago","Fernando Gago Pivote","Pivote","Argentina","22,00 mill. €","https://www.transfermarkt.es/fernando-gago/profil/spieler/38954","Real Madrid"
"Mahamadou Diarra","Mahamadou Diarra Pivote","Pivote","Malí","20,00 mill. €","https://www.transfermarkt.es/mahamadou-diarra/profil/spieler/5352","Real Madrid"
"Lassana Diarra","Lassana Diarra Pivote","Pivote","Francia","18,00 mill. €","https://www.transfermarkt.es/lassana-diarra/profil/spieler/23914","Real Madrid"
"Javi García","Javi García Pivote","Pivote","España","4,00 mill. €","https://www.transfermarkt.es/javi-garcia/profil/spieler/36350","Real Madrid"
"Marcos Tébar","Marcos Tébar Pivote","Pivote","España","-","https://www.transfermarkt.es/marcos-tebar/profil/spieler/44072","Real Madrid"
"Guti","Guti Mediocentro","Mediocentro","España","14,00 mill. €","https://www.transfermarkt.es/guti/profil/spieler/7530","Real Madrid"
"Rubén de la Red","Rubén de la Red Mediocentro","Mediocentro","España","12,00 mill. €","https://www.transfermarkt.es/ruben-de-la-red/profil/spieler/35522","Real Madrid"
"Dani Parejo","Dani Parejo Mediocentro","Mediocentro","España","500 mil €","https://www.transfermarkt.es/dani-parejo/profil/spieler/59561","Real Madrid"
"Royston Drenthe","Royston Drenthe Interior izquierdo","Interior izquierdo","Países Bajos","5,00 mill. €","https://www.transfermarkt.es/royston-drenthe/profil/spieler/35631","Real Madrid"
"Wesley Sneijder","Wesley Sneijder Mediocentro ofensivo","Mediocentro ofensivo","Países Bajos","26,00 mill. €","https://www.transfermarkt.es/wesley-sneijder/profil/spieler/4673","Real Madrid"
"Rafael van der Vaart","Rafael van der Vaart Mediocentro ofensivo","Mediocentro ofensivo","Países Bajos","18,00 mill. €","https://www.transfermarkt.es/rafael-van-der-vaart/profil/spieler/4192","Real Madrid"
"Miguel Palanca","Miguel Palanca Mediocentro ofensivo","Mediocentro ofensivo","España","-","https://www.transfermarkt.es/miguel-palanca/profil/spieler/72318","Real Madrid"
"Robinho","Robinho Extremo izquierdo","Extremo izquierdo","Brasil","35,00 mill. €","https://www.transfermarkt.es/robinho/profil/spieler/15511","Real Madrid"
"Arjen Robben","Arjen Robben Extremo derecho","Extremo derecho","Países Bajos","30,00 mill. €","https://www.transfermarkt.es/arjen-robben/profil/spieler/4360","Real Madrid"
"Raúl","Raúl Mediapunta","Mediapunta","España","26,00 mill. €","https://www.transfermarkt.es/raul/profil/spieler/7349","Real Madrid"
"Javier Saviola","Javier Saviola Mediapunta","Mediapunta","Argentina","5,00 mill. €","https://www.transfermarkt.es/javier-saviola/profil/spieler/7611","Real Madrid"
"Alberto Bueno","Alberto Bueno Mediapunta","Mediapunta","España","-","https://www.transfermarkt.es/alberto-bueno/profil/spieler/45335","Real Madrid"
"Ruud van Nistelrooy","Ruud van Nistelrooy Delantero centro","Delantero centro","Países Bajos","28,00 mill. €","https://www.transfermarkt.es/ruud-van-nistelrooy/profil/spieler/3407","Real Madrid"
"Klaas-Jan Huntelaar","Klaas-Jan Huntelaar Delantero centro","Delantero centro","Países Bajos","20,00 mill. €","https://www.transfermarkt.es/klaas-jan-huntelaar/profil/spieler/4357","Real Madrid"
"Gonzalo Higuaín","Gonzalo Higuaín Delantero centro","Delantero centro","Argentina","20,00 mill. €","https://www.transfermarkt.es/gonzalo-higuain/profil/spieler/39153","Real Madrid"
"Asier Riesgo","Asier Riesgo Portero","Portero","España","4,00 mill. €","https://www.transfermarkt.es/asier-riesgo/profil/spieler/23338","Recreativo"
"Roberto","Roberto Portero","Portero","España","1,00 mill. €","https://www.transfermarkt.es/roberto/profil/spieler/37403","Recreativo"
"César Arzo","César Arzo Defensa central","Defensa central","España","4,00 mill. €","https://www.transfermarkt.es/cesar-arzo/profil/spieler/15798","Recreativo"
