"name","market_value","team"
"César Azpilicueta","7,00 mill. €","Osasuna"
"Miguel Flaño","5,00 mill. €","Osasuna"
"Rovérsio","1,80 mill. €","Osasuna"
"Sergio Fernández","1,60 mill. €","Osasuna"
"Josetxo","900 mil €","Osasuna"
"Jon Echaide","400 mil €","Osasuna"
"Alan Baró","-","Osasuna"
"Nacho Monreal","6,00 mill. €","Osasuna"
"Juanfran Torres","6,00 mill. €","Osasuna"
"Javad Nekounam","8,00 mill. €","Osasuna"
"Patxi Puñal","1,60 mill. €","Osasuna"
"Oier Sanjurjo","500 mil €","Osasuna"
"Rúper","1,00 mill. €","Osasuna"
"Krisztián Vadócz","900 mil €","Osasuna"
"Javier Calleja","2,00 mill. €","Osasuna"
"Masoud Shojaei","3,40 mill. €","Osasuna"
"Ludovic Delporte","700 mil €","Osasuna"
"Javier Camuñas","3,40 mill. €","Osasuna"
"Jokin Esparza","300 mil €","Osasuna"
"Walter Pandiani","2,40 mill. €","Osasuna"
"Carlos Aranda","2,00 mill. €","Osasuna"
"Dady","1,80 mill. €","Osasuna"
"Javier Portillo","700 mil €","Osasuna"
"Jorge Galán","700 mil €","Osasuna"
"Toño","6,00 mill. €","Racing"
"Fabio Coltorti","1,80 mill. €","Racing"
"Mario Fernández","300 mil €","Racing"
"Henrique","8,00 mill. €","Racing"
"Marc Torrejón","3,00 mill. €","Racing"
"Nasief Morris","2,00 mill. €","Racing"
"Oriol Lozano","1,20 mill. €","Racing"
"José Crespo","1,20 mill. €","Racing"
"José Moratón","800 mil €","Racing"
"Osmar","-","Racing"
"José Picón","-","Racing"
"Laszlo Sepsi","2,00 mill. €","Racing"
"Bolaño","1,60 mill. €","Racing"
"Pablo Pinillos","500 mil €","Racing"
"Gonzalo Herrero","-","Racing"
"Gonzalo Colsa","3,60 mill. €","Racing"
"Mehdi Lacen","3,20 mill. €","Racing"
"Pape Diop","1,40 mill. €","Racing"
"Edu Bedia","800 mil €","Racing"
"Mario Ortiz","300 mil €","Racing"
"Daniel Espolita","-","Racing"
"Óscar Serrano","4,00 mill. €","Racing"
"Sergio Canales","6,00 mill. €","Racing"
"Toni Moral","1,40 mill. €","Racing"
"Luisma Villa","-","Racing"
"Manuel Arana","2,20 mill. €","Racing"
"Luis García","2,00 mill. €","Racing"
"Pedro Munitis","2,00 mill. €","Racing"
"Mémé Tchité","4,00 mill. €","Racing"
"Xisco","2,20 mill. €","Racing"
"Álex Geijo","2,00 mill. €","Racing"
"Juanjo Expósito","1,00 mill. €","Racing"
"Iván Bolado","1,00 mill. €","Racing"
"Iker Casillas","32,00 mill. €","Real Madrid"
"Jerzy Dudek","500 mil €","Real Madrid"
"Antonio Adán","500 mil €","Real Madrid"
"Sergio Ramos","27,00 mill. €","Real Madrid"
"Pepe","22,00 mill. €","Real Madrid"
"Raúl Albiol","18,00 mill. €","Real Madrid"
"Ezequiel Garay","10,00 mill. €","Real Madrid"
"Christoph Metzelder","3,00 mill. €","Real Madrid"
"David Mateos","500 mil €","Real Madrid"
"Marcos Alonso","-","Real Madrid"
"Marcelo","13,00 mill. €","Real Madrid"
"Álvaro Arbeloa","12,00 mill. €","Real Madrid"
"Raúl Ruiz","-","Real Madrid"
"Juanfran Moreno","-","Real Madrid"
"Xabi Alonso","30,00 mill. €","Real Madrid"
"Lassana Diarra","22,00 mill. €","Real Madrid"
"Fernando Gago","13,00 mill. €","Real Madrid"
"Mahamadou Diarra","11,00 mill. €","Real Madrid"
"Esteban Granero","10,00 mill. €","Real Madrid"
"Guti","6,00 mill. €","Real Madrid"
"Pedro Mosquera","200 mil €","Real Madrid"
"Rubén de la Red","-","Real Madrid"
"Royston Drenthe","5,00 mill. €","Real Madrid"
"Kaká","50,00 mill. €","Real Madrid"
"Rafael van der Vaart","15,00 mill. €","Real Madrid"
"Raúl","9,00 mill. €","Real Madrid"
"Cristiano Ronaldo","75,00 mill. €","Real Madrid"
"Gonzalo Higuaín","32,00 mill. €","Real Madrid"
"Karim Benzema","28,00 mill. €","Real Madrid"
"Ruud van Nistelrooy","7,00 mill. €","Real Madrid"
"Javi Acuña","-","Real Madrid"
"Rodrigo","-","Real Madrid"
"Andrés Palop","2,00 mill. €","Sevilla"
"Javi Varas","1,00 mill. €","Sevilla"
"Dani Jiménez","-","Sevilla"
"Sébastien Squillaci","8,00 mill. €","Sevilla"
"Federico Fazio","6,00 mill. €","Sevilla"
"Julien Escudé","4,00 mill. €","Sevilla"
"Sergio Sánchez","4,00 mill. €","Sevilla"
"Marius Stankevicius","3,00 mill. €","Sevilla"
"Ivica Dragutinovic","1,40 mill. €","Sevilla"
"Juan Cala","1,00 mill. €","Sevilla"
"Daniel Jiménez","-","Sevilla"
"Marc Valiente","-","Sevilla"
"Adriano","20,00 mill. €","Sevilla"
"Fernando Navarro","6,00 mill. €","Sevilla"
"Manuel Redondo","-","Sevilla"
"Antonio Luna","-","Sevilla"
"Abdoulay Konko","8,00 mill. €","Sevilla"
